imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/Escuela Leopoldo Lugones/mesa_1_104964.jpg,Escuela Leopoldo Lugones,,AP OEP,APB SÚMATE 0825,,3,FP 0825,LIBRE 003,LYP ADN 0825,MAS-IPSP 0014,1,MORENA 0825,104964,825,PDC 029,UNIDAD 0.8,75,75,75
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/CPC Villa El Libertador/mesa_5_104914.jpg,CPC Villa El Libertador,,AP 011,APB SÚMATE 006,5,3,FP 0,LIBRE 0 1 1,LYP ADN 001,MAS-IPSP 0 822,5,MORENA 011,36,2,PDC 021,UNIDAD 0,5,70,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/CPC Villa El Libertador/mesa_1_104924.jpg,CPC Villa El Libertador,,AP 0 2 4,APB SÚMATE 0.24,1,3,FP 004,LIBRE 0.24,LYP ADN 003,MAS-IPSP 0.8,1,MORENA 73805,738,182,PDC 020,UNIDAD 0.11,8,51,9
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/CPC Villa El Libertador/mesa_3_104894.jpg,CPC Villa El Libertador,,AP A3,APB SÚMATE 0.29,3,3,FP 10489-4,LIBRE 0.9,LYP ADN 019,MAS-IPSP 0.9,3,MORENA 019,29,29,PDC 025,UNIDAD 003,1,17,17
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/CPC Villa El Libertador/mesa_2_104934.jpg,CPC Villa El Libertador,,AP 04,APB SÚMATE 014,14,104934,FP 009,LIBRE 014,LYP ADN 0810,MAS-IPSP 004,810,MORENA 014,95,14,PDC 024,UNIDAD 0,6,44,92
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Cordoba/CPC Villa El Libertador/mesa_4_104904.jpg,CPC Villa El Libertador,,AP APB SUMATE,APB SÚMATE 0 1,4,3,FP 005,LIBRE 0 1,LYP ADN APB SUMATE,MAS-IPSP 0 1,4,MORENA 17 DE AGOSTO DE 2,144,176,PDC 026,UNIDAD 008,96,6,68
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Centro Integrador Comunitario (CIC)/mesa_1_104764.jpg,Centro Integrador Comunitario (CIC),,AP 0.45,APB SÚMATE 0 8,10464,3,FP 0.86,LIBRE 0 8,LYP ADN AP,MAS-IPSP 005,1,MORENA 0 8,82,82,PDC 0.6,UNIDAD 008,8,22,52
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Centro Integrador Comunitario (CIC)/mesa_1_104744.jpg,Centro Integrador Comunitario (CIC),,AP 015,APB SÚMATE APB SMATE,1,3,FP 014,LIBRE 005,LYP ADN APB SUMATE,MAS-IPSP 0.06.,1,MORENA 1,731,731,PDC 017,UNIDAD 008,106,32,131
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Centro Integrador Comunitario (CIC)/mesa_2_104754.jpg,Centro Integrador Comunitario (CIC),,AP 003,APB SÚMATE 08 00,,3,FP 002,LIBRE 0 8 00,LYP ADN 0 8 0,MAS-IPSP 001,2,MORENA 0 1,8,800,PDC 001,UNIDAD 001,3,3,9
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_16_104634.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 019,APB SÚMATE 010,16,7,FP 008,LIBRE 00+,LYP ADN 006,MAS-IPSP 007,16,MORENA 10463-4,38,38,PDC 008,UNIDAD 008,9,38,38
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_19_104564.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.23,APB SÚMATE 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,19,3,FP 005,LIBRE 007,LYP ADN AP,MAS-IPSP 0 0,19,MORENA 196,14,8,PDC 014,UNIDAD 0 11,3,42,79
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_7_104664.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 014,APB SÚMATE MOSA:7,7,3,FP 011,LIBRE 004,LYP ADN AP,MAS-IPSP 005,7,MORENA 042,42,14,PDC 0.22,UNIDAD 006,8,42,74
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_12_104714.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 014,APB SÚMATE 006,12,3,FP 003,LIBRE 014,LYP ADN 004,MAS-IPSP 006,12,MORENA 189,136,189,PDC 021,UNIDAD 005,4,62,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_13_104604.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 025,APB SÚMATE 001,13,3,FP 005,LIBRE 005,LYP ADN 00 2,MAS-IPSP 006,13,MORENA 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,719,20,PDC 0 12,UNIDAD 0 15,3,46,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_8_104674.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.95,APB SÚMATE 0820,8,3,FP 0.95,LIBRE 0.9,LYP ADN OEP,MAS-IPSP 014,8,MORENA 0.95,25,206,PDC 005,UNIDAD 008,8,35,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_6_104554.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.22,APB SÚMATE 0811,6,3,FP 007,LIBRE 0.22,LYP ADN AP,MAS-IPSP 008,6,MORENA 72625,45,40,PDC 0 12,UNIDAD 0 1 2,45,40,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_22_104594.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 003,APB SÚMATE 08 20,22,7,FP 002,LIBRE U.S.,LYP ADN 08 20,MAS-IPSP 001,22,MORENA 10459-4,38,28,PDC 001,UNIDAD 000,1,20,20
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_3_104524.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 013,APB SÚMATE 005,3,3,FP 006,LIBRE 08 10,LYP ADN APS SOMATE,MAS-IPSP 0.9,3,MORENA 08 10,73,73,PDC 008,UNIDAD 0 70,73,29,73
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_17_104644.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.22,APB SÚMATE 09.90,17,3,FP 003,LIBRE 0.15,LYP ADN 001,MAS-IPSP 003,17,MORENA 192,45,25,PDC 005,UNIDAD 0 1 0,5,43,45
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_2_104514.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP OEP,APB SÚMATE 08.25,825,3,FP 08.25,LIBRE 005,LYP ADN 08 25,MAS-IPSP 008,2,MORENA 08.25,13,3,PDC 020,UNIDAD 011,3,33,77
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_18_104654.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP OEP,APB SÚMATE 08.00,18,3,FP 080,LIBRE 0.10,LYP ADN 080,MAS-IPSP 080,18,MORENA 080,800,800,PDC 017,UNIDAD 0.10,40,41,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_9_104684.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 012,APB SÚMATE 0.72,9,3,FP 006,LIBRE 0.75,LYP ADN APB SUMATE,MAS-IPSP 0.8,9,MORENA 17 DE AGOSTO DE 2012,800,37,PDC 0.10,UNIDAD 014,8,37,75
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_4_104534.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0 2,APB SÚMATE 0845,4,3,FP 008,LIBRE 0.23,LYP ADN APB SUMATE,MAS-IPSP 0 0 8 15,4,MORENA 08.45,45,845,PDC 009,UNIDAD 00 7,1,57,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_21_104584.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0 8,APB SÚMATE 0 8,104584,3,FP 00 2,LIBRE 0 1 1,LYP ADN APB SUMATE,MAS-IPSP 0 0,21,MORENA 1 9 6,,196,PDC 0 1 1,UNIDAD 0 11,41,47,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_5_104544.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 011,APB SÚMATE MOSA 5,5,3,FP 006,LIBRE 0.08.00,LYP ADN 0 1 1 1 4,MAS-IPSP 08.00,5,MORENA 08.00,51,800,PDC 012,UNIDAD 007,3,51,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_11_104704.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0470-4,APB SÚMATE 003,11,3,FP 009,LIBRE 009,LYP ADN 003,MAS-IPSP 009,11,MORENA 0.13,15,20,PDC 016,UNIDAD 009,8,38,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_20_104574.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.23,APB SÚMATE 006,4574,3,FP 070,LIBRE 0.10,LYP ADN APB SUMATE,MAS-IPSP 005,20,MORENA 20,7,20,PDC 017,UNIDAD 011,4,26,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_10_104694.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0 1,APB SÚMATE 0 1,8,3,FP 0.8,LIBRE 0 1,LYP ADN AP COMATE,MAS-IPSP 0 1 0,10,MORENA 0 1,8,8,PDC 006,UNIDAD 008,5,13,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_14_104614.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.30,APB SÚMATE 004,14,3,FP 004,LIBRE 005,LYP ADN 007,MAS-IPSP 006,14,MORENA 0.8,718,202,PDC 076,UNIDAD 040,6,25,87
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_1_104504.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 003,APB SÚMATE 005,,3,FP 004,LIBRE 007,LYP ADN 003,MAS-IPSP 0 06,1,MORENA 09 60,28,2,PDC 012,UNIDAD 010,1,38,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Escuela Normal Superior Juan Ignacio Gorriti/mesa_15_104624.jpg,Escuela Normal Superior Juan Ignacio Gorriti,,AP 0.8 28,APB SÚMATE MOS-LIPS,15,3,FP 0.28,LIBRE 0.8 28,LYP ADN 08 28,MAS-IPSP 0.8,15,MORENA 4 6 4,25,28,PDC 0 12,UNIDAD 0 1,60,60,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Sede de Estudios Universitarios/mesa_2_104734.jpg,Sede de Estudios Universitarios,,AP 0 6,APB SÚMATE MESA: 2,,3,FP 0.0,LIBRE 0.06.,LYP ADN AP,MAS-IPSP 0.6,800,MORENA 0.83,83,64,PDC 008,UNIDAD 0.17,17,9,43
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Jujuy/Sede de Estudios Universitarios/mesa_1_104724.jpg,Sede de Estudios Universitarios,,AP 0 1 7,APB SÚMATE LINDAD,1,3,FP 005,LIBRE 0 1 0,LYP ADN 004,MAS-IPSP 009,1,MORENA 748,748,748,PDC 039,UNIDAD 0 1 5,4,39,105
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Neuquén/Centro de Formación Profesional N° 29 Darrieux 470/mesa_2_105294.jpg,Centro de Formación Profesional N° 29 Darrieux 470,,AP MOSA,APB SÚMATE MESA 2,,3,FP 08.00,LIBRE 08.00,LYP ADN MESA 2,MAS-IPSP 00,2,MORENA 18,405294,466,PDC 0.08.,UNIDAD 003,6,30,30
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Neuquén/Centro de Formación Profesional N° 29 Darrieux 470/mesa_3_105304.jpg,Centro de Formación Profesional N° 29 Darrieux 470,,AP A3,APB SÚMATE 0530-4,3,3,FP A3,LIBRE OEP,LYP ADN OEP,MAS-IPSP A3,3,MORENA 10530-4,13,13,PDC OEP,UNIDAD MESA: 3,5,4,40
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Neuquén/Centro de Formación Profesional N° 29 Darrieux 470/mesa_1_105284.jpg,Centro de Formación Profesional N° 29 Darrieux 470,,AP 014,APB SÚMATE 0800,800,3,FP 003,LIBRE 002,LYP ADN 014,MAS-IPSP 003,1,MORENA 15785258,462,457,PDC 020,UNIDAD 002,8,108,46
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Neuquén/Centro de Formación Profesional N° 29 Darrieux 470/mesa_4_105314.jpg,Centro de Formación Profesional N° 29 Darrieux 470,,AP A3,APB SÚMATE 080,800,3,FP 0,LIBRE 0,LYP ADN 024,MAS-IPSP 080,800,MORENA 024,506270,28,PDC 024,UNIDAD 0,3,28,28
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Escuela De Comercio Julio Cortez Nº 5091/mesa_3_105114.jpg,Escuela De Comercio Julio Cortez Nº 5091,,AP APS COMATE,APB SÚMATE MOSISP,3,3,FP 0.40,LIBRE 003,LYP ADN APS COMATE,MAS-IPSP 0.4,3,MORENA 0.13,99,99,PDC 0.40,UNIDAD 042,9,26,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Escuela De Comercio Julio Cortez Nº 5091/mesa_1_105094.jpg,Escuela De Comercio Julio Cortez Nº 5091,,AP 012,APB SÚMATE 006,1,3,FP 009,LIBRE 0.13,LYP ADN 005,MAS-IPSP 008,1,MORENA 0.13,15,13,PDC 018,UNIDAD 0.19,6,32,101
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Escuela De Comercio Julio Cortez Nº 5091/mesa_4_105124.jpg,Escuela De Comercio Julio Cortez Nº 5091,,AP 002,APB SÚMATE 000,4,3,FP 001,LIBRE 0.91,LYP ADN 002,MAS-IPSP 001,4,MORENA 0.73,74,9,PDC 003,UNIDAD 001,3,9,12
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Escuela De Comercio Julio Cortez Nº 5091/mesa_2_105104.jpg,Escuela De Comercio Julio Cortez Nº 5091,,AP 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,APB SÚMATE 0.11,91,3,FP 0.94,LIBRE 0.11,LYP ADN 004,MAS-IPSP 003,9,MORENA 0 1 1 1 1 0,748,202,PDC 006,UNIDAD 0 1 3,10,48,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_3_105004.jpg,Colegio Nacional Salta N° 5080,,AP 0.34,APB SÚMATE 0.34,3,3,FP A3,LIBRE MCDO,LYP ADN 00,MAS-IPSP 08.00,3,MORENA 76475,45,,PDC 080,UNIDAD 005,98,45,45
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_5_105024.jpg,Colegio Nacional Salta N° 5080,,AP 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,APB SÚMATE 806,5,3,FP 002,LIBRE 014,LYP ADN MESA: 5,MAS-IPSP 0 0 4,5,MORENA 08.00,800,192,PDC 017,UNIDAD 0.06.,40,59,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_1_104984.jpg,Colegio Nacional Salta N° 5080,,AP 0.13,APB SÚMATE 08 00,1,,FP 08.00,LIBRE 0.28,LYP ADN AP,MAS-IPSP 08.00,1,MORENA 1,50,800,PDC 009,UNIDAD 0.28,7,87,87
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_4_105014.jpg,Colegio Nacional Salta N° 5080,,AP APB SUMATE,APB SÚMATE 0.24,,3,FP 0.15,LIBRE 0.16,LYP ADN APB SUMATE,MAS-IPSP 0.10,4,MORENA 186,134,186,PDC 0.15,UNIDAD 014,36,38,90
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_8_105054.jpg,Colegio Nacional Salta N° 5080,,AP 016,APB SÚMATE 0.8,8,3,FP 005,LIBRE 0.18,LYP ADN AP,MAS-IPSP 0 1 1,8,MORENA 18,45,182,PDC 014,UNIDAD 0.18,4,49,85
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_6_105034.jpg,Colegio Nacional Salta N° 5080,,AP 0 37,APB SÚMATE 014,6,3,FP 0.26,LIBRE 0 24,LYP ADN 005,MAS-IPSP 0 0 6,6,MORENA 0 24,94,327,PDC 00 9,UNIDAD 0 4 4,94,43,94
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_7_105044.jpg,Colegio Nacional Salta N° 5080,,AP 020,APB SÚMATE 0.10,7,3,FP 0.25,LIBRE 0.20,LYP ADN MESA: 7,MAS-IPSP 0.8,7,MORENA 435,435,435,PDC 0.12,UNIDAD 014,4,46,85
